key,sku,unitPrice,name
residential|post|Mystique lattice|Mystique lattice|white|2||end,B-MC-PSE-02-24,52.5,Mystique With Lattice End Post - 1.8m White
residential|post|Mystique lattice|Mystique lattice|white|2||corner,B-MC-PSC-02-24,52.5,Mystique With Lattice Corner Post - 1.8m White
residential|post|Mystique lattice|Mystique lattice|white|2||line,B-MC-PSL-02-24,52.5,Mystique With Lattice Line Post - 1.8m White
residential|post|ResPost|Mystique lattice|white|2.1||end,ResPost-End-Wht-2.1m,,Post White End 2100mm
residential|post|Unmapped|||2||end,B-WR-PSE-02-18,42.0,Wren End Post - 1.2m above ground - White
residential|post|Unmapped|||2||line,B-WR-PSL-02-18,42.0,Wren Line Post - 1.2m above ground - White
residential|post|Unmapped|||2||corner,B-WR-PSC-02-18,42.0,Wren Corner Post - 1.2m above ground - White
residential|post|Unmapped|||2||blank,B-PSL-BNK-02-12,42.0,Wren Blank Post - 1.2m above ground - White
residential|post|ResPost|||1.2||blank,ResPost-Blank-Wht-1.2m,46.01,Post White Blank 1200mm
gate|Unmapped|||1.8|3||double,Gate-Picket-Double-1.8H-3.0W,1828.18,3.0m Picket Double Gate @ 1.8m Above Ground
residential|post|ResPost||white|0.9||blank,ResPost-Blank-Wht-0.9m,37.73,Post White Blank 900mm
residential|post|ResPost||white|2.1||blank,ResPost-Blank-Wht-2.1m,58.0,Post White Blank 2100mm
residential|post|ResPost||white|2||line,ResPost-Line-Wht-2.0m,56.0,Post White Line 2000mm
residential|post|ResPost||white|1.6||blank,ResPost-Blank-Wht-1.6m,51.0,Post White Blank 1600mm
residential|post|ResPost||white|1.2||blank,ResPost-Blank-Wht-1.2m,46.01,Post White Blank 1200mm
residential|post|ResPost||white|1.2||end,ResPost-End-Wht-1.2m,43.0,Post White End1200mm
residential|post|ResPost||white|1.2||line,ResPost-Line-Wht-1.2m,42.38,Post White Line 1200mm
residential|post|ResPost||white|0.9||end,ResPost-End-Wht-0.9m,37.25,Post White End 900mm
residential|post|ResPost||white|0.9||line,ResPost-Line-Wht- 0.9m,40.66,Post White Line 900mm
residential|post|ResPost||white|1.4||end,ResPost-End-Wht-1.4m,46.0,Post White End 1400mm
residential|post|ResPost||white|2||end,ResPost-End-Wht-2.0m,56.0,Post White End 2000mm
residential|post|ResPost||white|1.8||blank,ResPost-Blank-Wht-1.8m,58.85,Post White Blank 1800mm
residential|post|ResPost||white|1.4||line,ResPost-Line-Wht- 1.4m,46.0,Post White Line 1400mm
